,count
n,796
e,398
o,398
music,80
movies,77
travel,54
sports,51
fishing,44
hiking,36
golf,32
reading,31
,31
traveling,31
dancing,28
cooking,28
camping,27
swimming,22
outdoors,22
live music,21
biking,19
boating,17
football,16
family,15
dining out,14
motorcycles,14
art,14
photography,14
walking,12
hunting,11
gardening,11
cycling,10
guitar,10
cars,10
working out,10
running,9
basketball,9
animals,9
tennis,9
nature,8
road trips,8
arts,7
writing,7
concerts,7
beach,7
baseball,7
sailing,7
kayaking,7
bowling,7
travelling,6
god,6
computers,6
books,6
woodworking,6
museums,5
bbq,5
wine,5
food,5
conversation,5
church,5
good food,5
friends,5
harleys,5
antiques,5
outdoor activities,5
read,5
people,5
politics,5
flying,5
festivals,5
love,5
life,4
walks in the park,4
history,4
skiing,4
coffee,4
horses,4
dining,4
fitness,4
shooting,4
astronomy,3
golfing,3
internet,3
water sports,3
water,3
riding my harley,3
country dancing,3
riding motorcycles,3
fun,3
scuba diving,3
bicycling,3
fine dining,3
day trips,3
mma,3
watching movies,3
scuba,3
pool,3
anything outdoors,3
grilling,3
exercise,3
restaurants,3
walks,3
gym,3
harley davidson,3
picnics,2
rodeo,2
tv,2
adventures,2
weekend getaways,2
bike riding,2
anime,2
yoga,2
science fiction,2
watching football,2
archeology,2
snowboarding,2
shooting pool,2
dance,2
women,2
mountain biking,2
bbqing,2
literature,2
symphony,2
finance,2
classic rock,2
site seeing,2
dyi home projects,2
darts,2
the outdoors,2
bbqs,2
coffee and conversation,2
drag racing,2
intimacy,2
new restaurants,2
science,2
paddle boarding,2
guns,2
cruising,2
psychology,2
country music,2
learning,2
good times,2
sightseeing,2
racquetball,2
beaches,2
volunteering,2
exploring the hill country,2
trips,2
water activities,2
the beach,2
dinner,2
parks,2
pickleball,2
dogs,2
adventure,2
wine tasting,2
dominos,2
the coast,2
classic cars,2
sun,2
motorcycling,2
laughter,2
rving,2
the lake,2
health,2
road trip,2
bible,2
cultures,1
guitar-based hard rock,1
hunt,1
fish,1
ride,1
family working out regularly,1
canoeing and back-packing,1
playing and going to shows,1
surfing,1
horse racing,1
swimming and water sports,1
tex-mex,1
reading books,1
music collection,1
dominoes,1
domino,1
lets just say i like to stay busy,1
too many to list,1
my interests are,1
live bands,1
car and motorcycle shows,1
cowboys,1
spurs,1
sportscars,1
sunday brunch,1
lake living,1
any outdoor activities,1
boats/ing i have,1
record collecting,1
jet skiing,1
airplanes,1
live theatre,1
rugby,1
great friends,1
walking on the beach,1
building stuff,1
and kayaking,1
playful,1
motorbike,1
hiking/camping,1
ping pong,1
racing,1
real estate,1
theater,1
europe,1
listening/playing music,1
nice harleys had once,1
play golf weekly,1
fast cars had that too,1
and good mealsand relax,1
finding real individuals,1
fixing stuff,1
personal health is priority 1,1
i routinely devote time to weights - cardio - swimming at the fitness center,1
mining,1
enjoy going to rock concerts,1
lapis lazuli,1
diamonds that look like lapis so when you get to them ur excited,1
dancing cw,1
ballroom dancing,1
playing,1
performing,1
many interest cooking,1
the gym,1
love outdoors,1
health living,1
sculling,1
accomplishment,1
bike riding and playing basketball some times,1
cooking together,1
i like movies,1
wine and dine,1
ut football,1
kicking back,1
diy,1
playing guitar,1
anything to do with the water,1
refinishing furniture,1
i like to fix things,1
las vegas,1
home improvements,1
patio events,1
intellectual conversations,1
anything fun,1
short skirts,1
hose with garter and heels kink,1
horsemanship,1
riding my motorcycle,1
enjoying nature and live music,1
love to cook and watching movies on a rainy with a special lady,1
bicycle,1
ocean,1
music and concerts,1
working on my house,1
sci-fi,1
dive bars,1
books and art,1
golk,1
cancun,1
good wine,1
especially with the restrictions they force on us and when i find someone i want to chat with or if ,1
pbr,1
old buildings and sites,1
aerobics,1
billiards / pool,1
comedy clubs,1
i love talking about the family,1
dating,1
like to see how other people live,1
cooking barbeque,1
indoor soccer,1
love playing music with friends traveling,1
teaching,1
making new friends,1
peaceful living,1
i am so dissatisfied with this site,1
baking cookies,1
share and learning new things,1
long walks on the beach,1
walking or running on the trails,1
 music,1
good movie,1
geed food,1
road trip to someplace interesting,1
mma boxing,1
live music on the porch at one of the local eateries,1
alamo drafthouse,1
classical music,1
exploring,1
day/weekend trips,1
dumpster diving,1
dressing like a homeless person,1
scrubbing toilets,1
overseas travel,1
after a couple of months of being on pof,1
lake life,1
chilling,1
playing piano,1
live theater,1
family and friends,1
working out at the gym,1
movies/videos,1
watching sports,1
touch,1
garden,1
humanitarian causes,1
cinematic excursions,1
auto racing,1
seeing movies,1
relationship,1
work/career,1
motorcycle riding,1
summer,1
backpacking,1
music outdoors,1
wood sculpting,1
race cars,1
medicine,1
hunting and fishing,1
spirituality,1
staying by the house hanging out,1
hash browns,1
sailing/boating,1
architecture,1
museum,1
i love road trips,1
read novels,1
jog,1
trying to get into anaerobics,1
cook,1
halloween,1
riding bicycles,1
current events,1
music very eclectic taste,1
shop,1
video games,1
mentioned above plus watching some sports-live or on tv,1
star wars,1
puzzles,1
technology,1
brewing beer,1
jesus christ,1
the shore,1
jeep life,1
trying new foods,1
ny giants,1
working,1
roller skating,1
my country,1
interesting conversation,1
walks by the lake,1
some are described in the description section,1
moveies,1
going out to eat,1
tools,1
human potential and psychology of all types progressive politics,1
working out/fitness,1
my interest are many,1
more you will find,1
creating/inventory better solutions than what i can buy already made,1
playing pool,1
driving,1
lots of loving,1
springs,1
things,1
rings and dings,1
poker,1
horse back riding,1
i am quite active and enjoy all water activities and have many other varied interests biking,1
collecting,1
living history,1
old movies,1
working hard,1
playing hard,1
traveling hard,1
music-playing,1
