,state,hair,eyes,pets,rowcount,statecount,pct
0,New Jersey,Black,Brown,No Pets,3,6,0.5
1,New Jersey,Black,Hazel,Dog,1,6,0.16666666666666666
2,New Jersey,Brown,Brown,No Pets,1,6,0.16666666666666666
3,New Jersey,Brown,Hazel,No Pets,1,6,0.16666666666666666
4,New York,Black,Brown,Dog,2,25,0.08
5,New York,Black,Brown,No Pets,11,25,0.44
6,New York,Black,Green,No Pets,1,25,0.04
7,New York,Black,Other,No Pets,1,25,0.04
8,New York,Blond(e),Blue,Cat & Dog,1,25,0.04
9,New York,Brown,Blue,Cat,1,25,0.04
10,New York,Brown,Brown,Dog,2,25,0.08
11,New York,Brown,Brown,No Pets,3,25,0.12
12,New York,Brown,Hazel,No Pets,1,25,0.04
13,New York,Mixed Color,Blue,No Pets,1,25,0.04
14,New York,Mixed Color,Hazel,Dog,1,25,0.04
15,Texas,Bald,Blue,Cat,2,560,0.0035714285714285713
16,Texas,Bald,Blue,Dog,5,560,0.008928571428571428
17,Texas,Bald,Blue,No Pets,6,560,0.010714285714285714
18,Texas,Bald,Brown,Cat,1,560,0.0017857142857142857
19,Texas,Bald,Brown,Dog,3,560,0.005357142857142857
20,Texas,Bald,Brown,No Pets,18,560,0.03214285714285714
21,Texas,Bald,Brown,Other,2,560,0.0035714285714285713
22,Texas,Bald,Green,Dog,2,560,0.0035714285714285713
23,Texas,Bald,Green,No Pets,6,560,0.010714285714285714
24,Texas,Bald,Hazel,Cat,2,560,0.0035714285714285713
25,Texas,Bald,Hazel,Dog,5,560,0.008928571428571428
26,Texas,Bald,Hazel,No Pets,4,560,0.007142857142857143
27,Texas,Bald,Other,No Pets,2,560,0.0035714285714285713
28,Texas,Black,Blue,Cat,2,560,0.0035714285714285713
29,Texas,Black,Blue,Dog,4,560,0.007142857142857143
30,Texas,Black,Blue,No Pets,4,560,0.007142857142857143
31,Texas,Black,Brown,Birds,2,560,0.0035714285714285713
32,Texas,Black,Brown,Cat,3,560,0.005357142857142857
33,Texas,Black,Brown,Cat & Dog,3,560,0.005357142857142857
34,Texas,Black,Brown,Dog,12,560,0.02142857142857143
35,Texas,Black,Brown,No Pets,29,560,0.05178571428571429
36,Texas,Black,Brown,Other,2,560,0.0035714285714285713
