,count
i,5639
my,1575
you,1449
have,1120
like,1115
me,933
love,828
i'm,686
life,591
enjoy,590
looking,539
good,527
do,494
all,471
can,459
someone,434
time,432
will,401
this,372
music,358
we,355
would,352
about,338
want,326
your,320
very,320
what,313
also,305
one,302
meet,298
don't,294
fun,291
from,277
know,276
more,263
get,262
some,260
woman,259
going,256
things,255
great,246
go,245
people,240
person,237
there,229
new,228
country,216
work,214
friends,209
find,209
man,207
been,206
see,205
when,204
live,201
up,200
being,197
years,196
relationship,191
well,188
much,185
movies,176
other,174
any,166
they,165
here,164
long,161
most,159
has,155
now,154
travel,153
make,152
honest,149
many,146
lady,145
take,145
-,140
please,138
family,137
her,136
old,135
best,135
share,134
little,133
around,129
myself,128
back,128
always,127
day,125
play,125
working,125
home,125
really,123
believe,123
say,122
sense,122
think,121
way,121
humor,121
texas,121
outdoors,118
special,117
guy,117
easy,117
open,116
laugh,116
together,115
because,115
message,114
fishing,114
right,114
own,114
austin,113
partner,112
rock,112
anything,111
never,111
kind,109
same,108
feel,107
sports,106
need,106
dancing,105
nice,105
our,104
profile,103
she,102
only,102
heart,101
others,100
each,98
friend,98
still,97
world,96
something,95
women,94
their,94
try,94
interested,93
down,93
first,92
lot,90
happy,90
ask,88
times,88
big,87
even,86
cook,86
important,85
hard,85
two,84
conversation,84
over,83
god,83
hope,82
read,80
doing,79
few,78
romantic,78
talk,78
us,77
free,77
pretty,76
must,76
every,76
give,76
active,75
beach,74
watching,74
send,74
having,74
spend,73
both,73
playing,72
dance,72
look,72
year,72
care,72
likes,72
interests,71
taking,70
keep,69
should,69
loves,69
water,69
games,69
real,69
watch,68
thing,68
i've,68
loving,67
im,67
cooking,67
which,67
tell,66
traveling,66
caring,65
may,64
prefer,64
drama,64
camping,63
retired,63
getting,63
could,63
those,63
wants,63
his,62
let,62
simple,62
after,62
dinner,62
golf,61
off,61
maybe,61
he,60
single,60
last,60
you're,60
movie,59
along,59
better,59
places,58
healthy,58
night,58
let's,57
mind,57
etc,57
had,57
reading,57
start,56
listen,56
far,56
company,56
