,_id,username,headline,interests,about_me_text,About,City,Details,Ethnicity,Intent,Education,Personality,Profession,I am Seeking a,For,Needs Test,Chemistry,Do you drink?,Do you want children?,Marital Status,Do you do drugs?,Hair Color,Eye Color,Do you have a car?,Do you have children?,Longest Relationship,How ambitious are you?,Pets,Second Language,Age,Gender,Zodiac Sign
<<<<<<< HEAD
match_0,5d886cb76dcc122b63b1accf,pencile,Find somebody to love,None,Love to watch footballs and love to fish.,Smokes Occasionally with Average body type," Burnet, Texas ","66 year old Male, 5' 10"" (178cm), Christian - other",Caucasian,pencile is looking for a relationship.,High school,Hopeless Romantic,Retired,Woman,Long Term,Not Completed,View his chemistry results,Socially,Prefer Not To Say,Single,No,Brown,Blue,Yes,All my kids are over 18,Over 10 years,Very Ambitious,Dog,English,66,M,Gemini
match_1,5d886cb76dcc122b63b1acd0,funromannce,Fun and adventurous gentleman seeking,"['Photography', 'Reading', 'Golf']","Seeking an active and adventurous lady who is height/weight proportionate to explore and experience together Austin's music scene, the Texas Hill country as well as the beauty of the USA and the world. Relaxed and fun personalities only apply. Definite positive attitude.",Non-Smoker with Average body type," Austin, Texas ","73 year old Male, 5' 11"" (180cm), Christian - other",Caucasian,funromannce is actively seeking a relationship.,Graduate Degree,Adventurer,retired,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Brown,Blue,Yes,All my kids are over 18,Over 10 years,Somewhat Ambitious,No Pets,,73,M,Pisces
match_10,5d886cb76dcc122b63b1acd9,yougottahaveme,I am the one for you!,None,"I can be you friend, lover and boyfriend all in one. Have no kids, responsible, secure, content, easy going, affectionate, approachable, humorous, sense of commitment. I work out, cycle and play softball. Enjoy theme parks, zoos, sports, beaches, fishing, excursions, site seeing, tv, movies, walks, cooking, eating out, conversation and more. Not into club scene but open to whatever we do together. Love to joke around, but do have a serious/intellectual side. And I love Christmas. So if you want me message me.",Non-Smoker with Athletic body type," San antonio, Texas ","59 year old Male, 5' 8"" (173cm), Catholic",Hispanic,yougottahaveme is actively seeking a relationship.,Bachelors Degree,Athletic,Retired,Woman,Long Term,Not Completed,Not Completed,Socially,Prefer Not To Say,Divorced,No,Brown,Brown,Yes,No,Over 7 years,Somewhat Ambitious,No Pets,,59,M,Pisces
match_100,5d886cb76dcc122b63b1ad33,Benet8300,Looking for hot singles in my area. Lol,"['NetFlix', 'Amazon Prime', 'Grilling']","I''m a busy single dad, who commutes every day to the Austin area. I work Wednesday through Sunday selling homes. That means I work weekends. It is what it is. I''ve raised my son by myself for the last 10 years. For the last year or so, I''ve also taken care of his best friend. My son is 16, his friend that lives with us is 18. Both are juniors in high school. I work hard, both at work and at home. I'm not looking for one night stands. I'm looking for a relationship that will hopefully turn into something long-term. I love talking, over breakfast, lunch, or dinner. I prefer sunrises to sunsets.",Non-Smoker with Average body type," Horseshoe bay, Texas ","55 year old Male, 6' 2"" (188cm), Christian - other",Caucasian,Benet8300 is looking for a relationship.,Some college,Professional,New Home Sales,Woman,Dating,Not Completed,View his chemistry results,Socially,Undecided/Open,Single,No,Brown,Hazel,Yes,Yes,Over 10 years,Very Ambitious,Cat & Dog,,55,M,Pisces
match_1000,5d886cb86dcc122b63b1b0b7,m8v3nandlivincorrect,Moneypowerrespect365,None,Goal chaser love food and working out,Non-Smoker with Athletic body type," Queens, New York ","31 year old Male, 5' 6"" (168cm), Non-religious",Mixed Race,m8v3nandlivincorrect is looking for a relationship.,High school,Free Thinker,Move Positive Stack Every Dolla,Woman,Dating,Not Completed,Not Completed,Prefer Not To Say,Want children,Single,No,Black,Brown,Prefer Not To Say,No,Over 5 years,Very Ambitious,No Pets,,31,M,Aries
match_1001,5d886cb86dcc122b63b1b0b8,Juniiee,Juniiee,None,Just hit me up........,Non-Smoker with Athletic body type," Brooklyn, New York ","30 year old Male, 5' 8"" (173cm), Non-religious",Hispanic,Juniiee isn't seeking a relationship or any kind of commitment.,High school,Yuppy, Life,Woman,Friends,Not Completed,Not Completed,No,Prefer Not To Say,Single,No,Black,Brown,No,No,Over 7 years,Very Ambitious,No Pets,Spanish,30,M,Sagittarius
match_1002,5d886cb86dcc122b63b1b0b9,jointhewave,Whatever,None,Wassup message me,Non-Smoker with Athletic body type," Miami, New Jersey ","27 year old Male, 6' 2"" (188cm), New age",Black,jointhewave wants to date but nothing serious.,High school,Artsy,Surviving,Woman,Friends,Not Completed,Not Completed,Socially,Want children,Single,No,Black,Brown,No,No,Under 1 year,Ambitious,No Pets,,27,M,Pisces
match_1003,5d886cb86dcc122b63b1b0ba,monkichi,We're going to have fun :),None,"Native New Yorker. Went from Boston for undergrad, then back to NYC for cancer research, Minnesota for postgrad, back to NYC for residency, and then stayed on with the hospital where I'm very, very happy.I love to travel, even though it's exhausting as hell. Last country visited was Sweden, but my favorite place so far is Vancouver. I'm hoping that I can see the shiny stars at night again :)Finally at a point in my life where I'm finished being a student and can support a decent life. Looking to settle down, so long term relationship and not looking to waste anyone's time.Bonus points if you own a husky ?? ",Non-Smoker with Athletic body type," New york city, New York ","36 year old Male, 5' 8"" (173cm), Non-religious",Asian,monkichi wants to find someone to marry.,PhD / Post Doctoral,Intellectual,Pharmacist,Woman,Dating,Not Completed,View his chemistry results,Socially,Want children,Single,No,Black,Brown,Yes,No,Over 4 years,Somewhat Ambitious,No Pets,Chinese,36,M,Pisces
match_1004,5d886cb86dcc122b63b1b0bb,Romantic_Sag89,Just looking for friends,"['Ny giants', 'Working', 'Roller skating']","I’m 29, currently in a rocky relationship, resulting in losing hope in love all over again. I live with two roommates. I draw blood for a living, like to travel, go to the city, movies, the pier and love rollerskating. Also, I’m planning to go back to school in hopes to achieve an Associates or a Bachelor’s Degree. One other thing, I’m into the NY Giants and this section is to be continued........",Non-Smoker with Average body type," Bloomfield, New Jersey ","29 year old Male, 5' 10"" (178cm), Christian - other",Black,Romantic_Sag89 wants to date but nothing serious.,Some college,Hopeless Romantic,Phlebotomist,Woman,Long Term,Not Completed,Not Completed,Socially,Want children,Not Single/Not Looking,No,Black,Brown,Yes,No,Under 1 year,Ambitious,No Pets,Spanish,29,M,Sagittarius
